lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000082,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000083,Household is not deprived in any dimension,198
E09000002,Barking and Dagenham,E01000083,Household is deprived in one dimension,241
E09000002,Barking and Dagenham,E01000083,Household is deprived in two dimensions,140
E09000002,Barking and Dagenham,E01000083,Household is deprived in three dimensions,53
E09000002,Barking and Dagenham,E01000083,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000084,Household is not deprived in any dimension,181
E09000002,Barking and Dagenham,E01000084,Household is deprived in one dimension,168
E09000002,Barking and Dagenham,E01000084,Household is deprived in two dimensions,109
E09000002,Barking and Dagenham,E01000084,Household is deprived in three dimensions,38
E09000002,Barking and Dagenham,E01000084,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000085,Household is not deprived in any dimension,203
E09000002,Barking and Dagenham,E01000085,Household is deprived in one dimension,197
E09000002,Barking and Dagenham,E01000085,Household is deprived in two dimensions,129
E09000002,Barking and Dagenham,E01000085,Household is deprived in three dimensions,45
E09000002,Barking and Dagenham,E01000085,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000086,Household is not deprived in any dimension,170
E09000002,Barking and Dagenham,E01000086,Household is deprived in one dimension,190
E09000002,Barking and Dagenham,E01000086,Household is deprived in two dimensions,93
E09000002,Barking and Dagenham,E01000086,Household is deprived in three dimensions,36
E09000002,Barking and Dagenham,E01000086,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000087,Household is not deprived in any dimension,193
E09000002,Barking and Dagenham,E01000087,Household is deprived in one dimension,192
