lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000055,"5 years or more, but less than 10 years",106
E09000002,Barking and Dagenham,E01000055,"2 years or more, but less than 5 years",51
E09000002,Barking and Dagenham,E01000055,Less than 2 years,44
E09000002,Barking and Dagenham,E01000056,Born in the UK,1151
E09000002,Barking and Dagenham,E01000056,10 years or more,353
E09000002,Barking and Dagenham,E01000056,"5 years or more, but less than 10 years",110
E09000002,Barking and Dagenham,E01000056,"2 years or more, but less than 5 years",54
E09000002,Barking and Dagenham,E01000056,Less than 2 years,32
E09000002,Barking and Dagenham,E01000057,Born in the UK,887
E09000002,Barking and Dagenham,E01000057,10 years or more,425
E09000002,Barking and Dagenham,E01000057,"5 years or more, but less than 10 years",147
E09000002,Barking and Dagenham,E01000057,"2 years or more, but less than 5 years",44
E09000002,Barking and Dagenham,E01000057,Less than 2 years,46
E09000002,Barking and Dagenham,E01000058,Born in the UK,1155
