lad22cd,lad22nm,i.lad22nm,category,count_21
E09000024,Merton,Merton,Surviving partner from civil partnership,24
E09000025,Newham,Newham,Never married and never registered a civil partnership,130076
E09000025,Newham,Newham,Married: Opposite sex,111130
E09000025,Newham,Newham,Married: Same sex,862
E09000025,Newham,Newham,In a registered civil partnership: Opposite sex,301
E09000025,Newham,Newham,In a registered civil partnership: Same sex,446
E09000025,Newham,Newham,"Separated, but still married",6688
E09000025,Newham,Newham,"Separated, but still in a registered civil partnership",103
E09000025,Newham,Newham,Divorced,17151
E09000025,Newham,Newham,Formerly in a civil partnership now legally dissolved,82
E09000025,Newham,Newham,Widowed,9313
E09000025,Newham,Newham,Surviving partner from civil partnership,21
E09000026,Redbridge,Redbridge,Never married and never registered a civil partnership,86920
E09000026,Redbridge,Redbridge,Married: Opposite sex,122715
E09000026,Redbridge,Redbridge,Married: Same sex,481
E09000026,Redbridge,Redbridge,In a registered civil partnership: Opposite sex,221
E09000026,Redbridge,Redbridge,In a registered civil partnership: Same sex,217
E09000026,Redbridge,Redbridge,"Separated, but still married",4914
E09000026,Redbridge,Redbridge,"Separated, but still in a registered civil partnership",29
E09000026,Redbridge,Redbridge,Divorced,14807
E09000026,Redbridge,Redbridge,Formerly in a civil partnership now legally dissolved,39
E09000026,Redbridge,Redbridge,Widowed,11659
E09000026,Redbridge,Redbridge,Surviving partner from civil partnership,15
E09000027,Richmond upon Thames,Richmond upon Thames,Never married and never registered a civil partnership,55958
E09000027,Richmond upon Thames,Richmond upon Thames,Married: Opposite sex,75898
E09000027,Richmond upon Thames,Richmond upon Thames,Married: Same sex,579
E09000027,Richmond upon Thames,Richmond upon Thames,In a registered civil partnership: Opposite sex,178
E09000027,Richmond upon Thames,Richmond upon Thames,In a registered civil partnership: Same sex,450
E09000027,Richmond upon Thames,Richmond upon Thames,"Separated, but still married",2983
E09000027,Richmond upon Thames,Richmond upon Thames,"Separated, but still in a registered civil partnership",22
E09000027,Richmond upon Thames,Richmond upon Thames,Divorced,12472
E09000027,Richmond upon Thames,Richmond upon Thames,Formerly in a civil partnership now legally dissolved,46
E09000027,Richmond upon Thames,Richmond upon Thames,Widowed,7220
E09000027,Richmond upon Thames,Richmond upon Thames,Surviving partner from civil partnership,28
E09000028,Southwark,Southwark,Never married and never registered a civil partnership,153493
E09000028,Southwark,Southwark,Married: Opposite sex,66028
E09000028,Southwark,Southwark,Married: Same sex,1638
E09000028,Southwark,Southwark,In a registered civil partnership: Opposite sex,356
E09000028,Southwark,Southwark,In a registered civil partnership: Same sex,967
E09000028,Southwark,Southwark,"Separated, but still married",7135
E09000028,Southwark,Southwark,"Separated, but still in a registered civil partnership",119
E09000028,Southwark,Southwark,Divorced,18661
E09000028,Southwark,Southwark,Formerly in a civil partnership now legally dissolved,271
E09000028,Southwark,Southwark,Widowed,7434
E09000028,Southwark,Southwark,Surviving partner from civil partnership,38
E09000029,Sutton,Sutton,Never married and never registered a civil partnership,60286
E09000029,Sutton,Sutton,Married: Opposite sex,79447
E09000029,Sutton,Sutton,Married: Same sex,378
E09000029,Sutton,Sutton,In a registered civil partnership: Opposite sex,154
E09000029,Sutton,Sutton,In a registered civil partnership: Same sex,184
E09000029,Sutton,Sutton,"Separated, but still married",3472
E09000029,Sutton,Sutton,"Separated, but still in a registered civil partnership",24
E09000029,Sutton,Sutton,Divorced,12871
E09000029,Sutton,Sutton,Formerly in a civil partnership now legally dissolved,31
E09000029,Sutton,Sutton,Widowed,8806
E09000029,Sutton,Sutton,Surviving partner from civil partnership,4
E09000030,Tower Hamlets,Tower Hamlets,Never married and never registered a civil partnership,147392
