lsoa21cd,category,count_21,count_11,change
E01000060,Less than 2km,69,96,-27
E01000060,"Works mainly at an offshore installation, in no fixed place, or outside the UK",196,91,105
E01000060,Works mainly from home,173,50,123
E01000061,10km to less than 20km,110,104,6
E01000061,20km to less than 30km,50,41,9
E01000061,2km to less than 5km,140,151,-11
E01000061,30km to less than 40km,3,13,-10
E01000061,40km to less than 60km,5,3,2
E01000061,5km to less than 10km,89,92,-3
E01000061,60km and over,14,9,5
E01000061,Less than 2km,70,89,-19
E01000061,"Works mainly at an offshore installation, in no fixed place, or outside the UK",129,62,67
E01000061,Works mainly from home,151,27,124
E01000062,10km to less than 20km,171,178,-7
E01000062,20km to less than 30km,64,67,-3
E01000062,2km to less than 5km,152,147,5
E01000062,30km to less than 40km,14,14,0
E01000062,40km to less than 60km,4,6,-2
E01000062,5km to less than 10km,90,100,-10
E01000062,60km and over,7,15,-8
E01000062,Less than 2km,69,106,-37
E01000062,"Works mainly at an offshore installation, in no fixed place, or outside the UK",259,96,163
E01000062,Works mainly from home,194,41,153
E01000063,10km to less than 20km,127,158,-31
E01000063,20km to less than 30km,31,45,-14
E01000063,2km to less than 5km,133,146,-13
E01000063,30km to less than 40km,8,9,-1
E01000063,40km to less than 60km,3,4,-1
E01000063,5km to less than 10km,95,92,3
E01000063,60km and over,8,9,-1
E01000063,Less than 2km,62,77,-15
E01000063,"Works mainly at an offshore installation, in no fixed place, or outside the UK",186,83,103
E01000063,Works mainly from home,152,38,114
E01000064,10km to less than 20km,197,170,27
E01000064,20km to less than 30km,78,46,32
E01000064,2km to less than 5km,149,172,-23
E01000064,30km to less than 40km,13,12,1
E01000064,40km to less than 60km,12,4,8
E01000064,5km to less than 10km,91,106,-15
E01000064,60km and over,6,12,-6
E01000064,Less than 2km,53,71,-18
E01000064,"Works mainly at an offshore installation, in no fixed place, or outside the UK",235,121,114
E01000064,Works mainly from home,194,40,154
E01000065,10km to less than 20km,123,173,-50
E01000065,20km to less than 30km,41,43,-2
E01000065,2km to less than 5km,116,149,-33
E01000065,30km to less than 40km,10,17,-7
E01000065,40km to less than 60km,5,3,2
E01000065,5km to less than 10km,87,81,6
E01000065,60km and over,7,9,-2
E01000065,Less than 2km,61,72,-11
E01000065,"Works mainly at an offshore installation, in no fixed place, or outside the UK",201,86,115
E01000065,Works mainly from home,159,28,131
E01000066,10km to less than 20km,144,194,-50
E01000066,20km to less than 30km,33,30,3
E01000066,2km to less than 5km,121,167,-46
E01000066,30km to less than 40km,14,15,-1
E01000066,40km to less than 60km,4,3,1
E01000066,5km to less than 10km,122,138,-16
E01000066,60km and over,10,19,-9
E01000066,Less than 2km,64,69,-5
E01000066,"Works mainly at an offshore installation, in no fixed place, or outside the UK",224,114,110
E01000066,Works mainly from home,233,53,180
E01000067,10km to less than 20km,173,236,-63
E01000067,20km to less than 30km,20,26,-6
E01000067,2km to less than 5km,141,124,17
E01000067,30km to less than 40km,9,7,2
E01000067,40km to less than 60km,4,3,1
E01000067,5km to less than 10km,123,178,-55
E01000067,60km and over,13,12,1
E01000067,Less than 2km,56,54,2
E01000067,"Works mainly at an offshore installation, in no fixed place, or outside the UK",171,131,40
E01000067,Works mainly from home,226,53,173
E01000068,10km to less than 20km,155,205,-50
E01000068,20km to less than 30km,30,31,-1
E01000068,2km to less than 5km,85,104,-19
E01000068,30km to less than 40km,11,11,0
E01000068,40km to less than 60km,4,4,0
E01000068,5km to less than 10km,99,116,-17
E01000068,60km and over,12,39,-27
E01000068,Less than 2km,54,74,-20
E01000068,"Works mainly at an offshore installation, in no fixed place, or outside the UK",182,102,80
E01000068,Works mainly from home,217,53,164
E01000069,10km to less than 20km,172,282,-110
E01000069,20km to less than 30km,21,25,-4
E01000069,2km to less than 5km,137,157,-20
E01000069,30km to less than 40km,6,15,-9
E01000069,40km to less than 60km,6,5,1
E01000069,5km to less than 10km,116,155,-39
E01000069,60km and over,6,12,-6
E01000069,Less than 2km,60,112,-52
E01000069,"Works mainly at an offshore installation, in no fixed place, or outside the UK",183,120,63
E01000069,Works mainly from home,307,85,222
E01000070,10km to less than 20km,132,181,-49
E01000070,20km to less than 30km,17,21,-4
E01000070,2km to less than 5km,94,94,0
E01000070,30km to less than 40km,11,11,0
E01000070,40km to less than 60km,5,6,-1
E01000070,5km to less than 10km,103,125,-22
E01000070,60km and over,7,11,-4
E01000070,Less than 2km,61,65,-4
