gss_code_ward,ward_name,category,count_21
E05013642,Golders Green,Driving a car or van,1479
E05013642,Golders Green,Passenger in a car or van,120
E05013642,Golders Green,Bicycle,89
E05013642,Golders Green,On foot,540
E05013642,Golders Green,Other method of travel to work,108
E05013642,Golders Green,Not in employment or aged 15 years and under,8680
E05013645,Mill Hill,Work mainly at or from home,3982
E05013645,Mill Hill,"Underground, metro, light rail, tram",601
E05013645,Mill Hill,Train,253
E05013645,Mill Hill,"Bus, minibus or coach",549
E05013645,Mill Hill,Taxi,32
E05013645,Mill Hill,"Motorcycle, scooter or moped",44
E05013645,Mill Hill,Driving a car or van,2378
E05013645,Mill Hill,Passenger in a car or van,117
E05013645,Mill Hill,Bicycle,69
E05013645,Mill Hill,On foot,314
E05013645,Mill Hill,Other method of travel to work,112
E05013645,Mill Hill,Not in employment or aged 15 years and under,9341
E05013643,Hendon,Work mainly at or from home,3748
E05013643,Hendon,"Underground, metro, light rail, tram",1305
E05013643,Hendon,Train,278
E05013643,Hendon,"Bus, minibus or coach",1126
E05013643,Hendon,Taxi,42
E05013643,Hendon,"Motorcycle, scooter or moped",108
E05013643,Hendon,Driving a car or van,2644
E05013643,Hendon,Passenger in a car or van,196
E05013643,Hendon,Bicycle,107
E05013643,Hendon,On foot,689
E05013643,Hendon,Other method of travel to work,139
E05013643,Hendon,Not in employment or aged 15 years and under,11615
E05013628,Barnet Vale,Work mainly at or from home,3978
E05013628,Barnet Vale,"Underground, metro, light rail, tram",695
E05013628,Barnet Vale,Train,271
E05013628,Barnet Vale,"Bus, minibus or coach",477
E05013628,Barnet Vale,Taxi,30
E05013628,Barnet Vale,"Motorcycle, scooter or moped",39
E05013628,Barnet Vale,Driving a car or van,2310
E05013628,Barnet Vale,Passenger in a car or van,145
E05013628,Barnet Vale,Bicycle,67
E05013628,Barnet Vale,On foot,307
E05013628,Barnet Vale,Other method of travel to work,90
E05013628,Barnet Vale,Not in employment or aged 15 years and under,8638
E05013644,High Barnet,Work mainly at or from home,2844
E05013644,High Barnet,"Underground, metro, light rail, tram",485
E05013644,High Barnet,Train,92
E05013644,High Barnet,"Bus, minibus or coach",266
E05013644,High Barnet,Taxi,21
E05013644,High Barnet,"Motorcycle, scooter or moped",24
E05013644,High Barnet,Driving a car or van,1532
E05013644,High Barnet,Passenger in a car or van,84
E05013644,High Barnet,Bicycle,40
E05013644,High Barnet,On foot,371
E05013644,High Barnet,Other method of travel to work,51
E05013644,High Barnet,Not in employment or aged 15 years and under,6221
E05013647,Underhill,Work mainly at or from home,2305
E05013647,Underhill,"Underground, metro, light rail, tram",489
E05013647,Underhill,Train,96
E05013647,Underhill,"Bus, minibus or coach",373
E05013647,Underhill,Taxi,24
E05013647,Underhill,"Motorcycle, scooter or moped",31
E05013647,Underhill,Driving a car or van,1766
E05013647,Underhill,Passenger in a car or van,104
E05013647,Underhill,Bicycle,52
E05013647,Underhill,On foot,333
E05013647,Underhill,Other method of travel to work,70
E05013647,Underhill,Not in employment or aged 15 years and under,6654
E05013646,Totteridge & Woodside,Work mainly at or from home,4007
E05013646,Totteridge & Woodside,"Underground, metro, light rail, tram",715
E05013646,Totteridge & Woodside,Train,114
E05013646,Totteridge & Woodside,"Bus, minibus or coach",261
E05013646,Totteridge & Woodside,Taxi,20
E05013646,Totteridge & Woodside,"Motorcycle, scooter or moped",25
E05013646,Totteridge & Woodside,Driving a car or van,1645
E05013646,Totteridge & Woodside,Passenger in a car or van,63
E05013646,Totteridge & Woodside,Bicycle,58
E05013646,Totteridge & Woodside,On foot,190
E05013646,Totteridge & Woodside,Other method of travel to work,64
E05013646,Totteridge & Woodside,Not in employment or aged 15 years and under,7756
E05013648,West Finchley,Work mainly at or from home,4760
E05013648,West Finchley,"Underground, metro, light rail, tram",1250
E05013648,West Finchley,Train,166
E05013648,West Finchley,"Bus, minibus or coach",684
E05013648,West Finchley,Taxi,27
E05013648,West Finchley,"Motorcycle, scooter or moped",55
E05013648,West Finchley,Driving a car or van,1850
E05013648,West Finchley,Passenger in a car or van,109
E05013648,West Finchley,Bicycle,131
E05013648,West Finchley,On foot,533
E05013648,West Finchley,Other method of travel to work,96
E05013648,West Finchley,Not in employment or aged 15 years and under,9729
E05013649,West Hendon,Work mainly at or from home,2736
E05013649,West Hendon,"Underground, metro, light rail, tram",1374
E05013649,West Hendon,Train,414
E05013649,West Hendon,"Bus, minibus or coach",1107
E05013649,West Hendon,Taxi,45
E05013649,West Hendon,"Motorcycle, scooter or moped",75
E05013649,West Hendon,Driving a car or van,2144
E05013649,West Hendon,Passenger in a car or van,176
E05013649,West Hendon,Bicycle,100
E05013649,West Hendon,On foot,569
E05013649,West Hendon,Other method of travel to work,112
E05013649,West Hendon,Not in employment or aged 15 years and under,8403
E05011222,Crayford,Work mainly at or from home,2543
E05011222,Crayford,"Underground, metro, light rail, tram",98
E05011222,Crayford,Train,804
E05011222,Crayford,"Bus, minibus or coach",426
E05011222,Crayford,Taxi,37
E05011222,Crayford,"Motorcycle, scooter or moped",48
E05011222,Crayford,Driving a car or van,3122
E05011222,Crayford,Passenger in a car or van,241
E05011222,Crayford,Bicycle,53
E05011222,Crayford,On foot,401
E05011222,Crayford,Other method of travel to work,100
E05011222,Crayford,Not in employment or aged 15 years and under,8064
E05011217,Barnehurst,Work mainly at or from home,1880
E05011217,Barnehurst,"Underground, metro, light rail, tram",81
E05011217,Barnehurst,Train,538
E05011217,Barnehurst,"Bus, minibus or coach",309
E05011217,Barnehurst,Taxi,33
E05011217,Barnehurst,"Motorcycle, scooter or moped",42
E05011217,Barnehurst,Driving a car or van,2261
E05011217,Barnehurst,Passenger in a car or van,137
E05011217,Barnehurst,Bicycle,41
E05011217,Barnehurst,On foot,238
E05011217,Barnehurst,Other method of travel to work,55
E05011217,Barnehurst,Not in employment or aged 15 years and under,6106
E05011219,Bexleyheath,Work mainly at or from home,2824
E05011219,Bexleyheath,"Underground, metro, light rail, tram",122
E05011219,Bexleyheath,Train,737
E05011219,Bexleyheath,"Bus, minibus or coach",404
E05011219,Bexleyheath,Taxi,40
E05011219,Bexleyheath,"Motorcycle, scooter or moped",45
E05011219,Bexleyheath,Driving a car or van,2630
E05011219,Bexleyheath,Passenger in a car or van,171
E05011219,Bexleyheath,Bicycle,59
E05011219,Bexleyheath,On foot,376
E05011219,Bexleyheath,Other method of travel to work,90
E05011219,Bexleyheath,Not in employment or aged 15 years and under,8408
E05011218,Belvedere,Work mainly at or from home,2454
E05011218,Belvedere,"Underground, metro, light rail, tram",317
E05011218,Belvedere,Train,956
E05011218,Belvedere,"Bus, minibus or coach",720
E05011218,Belvedere,Taxi,47
E05011218,Belvedere,"Motorcycle, scooter or moped",48
E05011218,Belvedere,Driving a car or van,2947
E05011218,Belvedere,Passenger in a car or van,268
E05011218,Belvedere,Bicycle,88
E05011218,Belvedere,On foot,482
E05011218,Belvedere,Other method of travel to work,117
E05011218,Belvedere,Not in employment or aged 15 years and under,9113
E05011233,West Heath,Work mainly at or from home,2748
E05011233,West Heath,"Underground, metro, light rail, tram",190
E05011233,West Heath,Train,689
E05011233,West Heath,"Bus, minibus or coach",399
E05011233,West Heath,Taxi,52
E05011233,West Heath,"Motorcycle, scooter or moped",61
E05011233,West Heath,Driving a car or van,3022
E05011233,West Heath,Passenger in a car or van,207
E05011233,West Heath,Bicycle,73
E05011233,West Heath,On foot,217
E05011233,West Heath,Other method of travel to work,93
E05011233,West Heath,Not in employment or aged 15 years and under,7924
E05011220,Blackfen & Lamorbey,Work mainly at or from home,2995
E05011220,Blackfen & Lamorbey,"Underground, metro, light rail, tram",134
E05011220,Blackfen & Lamorbey,Train,720
E05011220,Blackfen & Lamorbey,"Bus, minibus or coach",339
E05011220,Blackfen & Lamorbey,Taxi,62
E05011220,Blackfen & Lamorbey,"Motorcycle, scooter or moped",57
E05011220,Blackfen & Lamorbey,Driving a car or van,3022
E05011220,Blackfen & Lamorbey,Passenger in a car or van,173
E05011220,Blackfen & Lamorbey,Bicycle,64
E05011220,Blackfen & Lamorbey,On foot,353
E05011220,Blackfen & Lamorbey,Other method of travel to work,99
E05011220,Blackfen & Lamorbey,Not in employment or aged 15 years and under,8107
