ward22cd,ward_name,lad22cd,lad22nm,Simpson's 2011,Simpson's standardised 2011,Simpson's 2021,Simpson's standardised 2021,Simpson's change,Simpson's standardised change
E05011469,Kenley,E09000008,Croydon,2.36210386620385,0.576648590983806,2.8435915671966,0.648332056004137,0.481487700992745,0.0716834650203312
E05011470,New Addington North,E09000008,Croydon,2.51854550271559,0.602945430637738,2.72491625835185,0.63301624520203,0.206370755636264,0.0300708145642916
E05011471,New Addington South,E09000008,Croydon,2.35839434830448,0.575982701655078,2.52494904742565,0.603952404101158,0.166554699121169,0.0279697024460797
E05011472,Norbury & Pollards Hill,E09000008,Croydon,3.07649959218651,0.67495526326747,3.26093032337579,0.693339047194122,0.184430731189281,0.0183837839266521
E05011473,Norbury Park,E09000008,Croydon,3.0108395478758,0.667866724845727,3.5183568764301,0.715776416343913,0.507517328554301,0.0479096914981859
E05011474,Old Coulsdon,E09000008,Croydon,2.04291007384109,0.510502193510753,2.48327574174089,0.597306097268541,0.440365667899803,0.0868039037577876
E05011475,Park Hill & Whitgift,E09000008,Croydon,3.73980832767636,0.732606617136091,4.06614111587445,0.754066577744697,0.326332788198086,0.0214599606086058
E05011476,Purley & Woodcote,E09000008,Croydon,2.6531797666895,0.623093763734016,3.19929080101385,0.687430726933888,0.546111034324351,0.0643369631998715
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,2.50597094173145,0.600953074376406,3.06099154790488,0.673308473953658,0.555020606173428,0.0723553995772517
E05011478,Sanderstead,E09000008,Croydon,2.23273439958327,0.552118693478881,2.77585342554266,0.63975043105725,0.543119025959394,0.0876317375783692
E05011479,Selhurst,E09000008,Croydon,2.82930903572623,0.646556813917176,3.04114362275703,0.671176332312308,0.211834587030797,0.0246195183951321
E05011480,Selsdon & Addington Village,E09000008,Croydon,2.36254720896955,0.576728034807753,2.86751797850778,0.651266353865936,0.504970769538232,0.0745383190581828
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,2.30260382003165,0.565709050206364,2.73470118005196,0.634329334665735,0.432097360020313,0.0686202844593714
E05011482,Shirley North,E09000008,Croydon,2.33663774577357,0.57203464601701,2.85549743622254,0.649798319790169,0.518859690448972,0.0777636737731586
E05011483,Shirley South,E09000008,Croydon,2.4026098295649,0.583785936570027,2.84927835282826,0.649033939064825,0.446668523263363,0.0652480024947977
E05011484,South Croydon,E09000008,Croydon,2.76834430157769,0.638773255396702,2.98439358582448,0.664923552727803,0.216049284246788,0.0261502973311005
E05011485,South Norwood,E09000008,Croydon,2.32897489944671,0.570626544649508,2.69394081647064,0.628796596463426,0.364965917023932,0.0581700518139177
E05011486,Thornton Heath,E09000008,Croydon,2.35120348011321,0.574685896623524,2.65020572419899,0.622670802168671,0.299002244085775,0.0479849055451469
E05011487,Waddon,E09000008,Croydon,2.58674481596474,0.613413741537916,3.11110343694455,0.678570635702774,0.524358620979805,0.065156894164858
E05011488,West Thornton,E09000008,Croydon,3.45180866114104,0.710296804322452,3.63745727723306,0.725082681724119,0.185648616092015,0.0147858774016668
E05011489,Woodside,E09000008,Croydon,2.36334324807386,0.576870604464668,2.71328405914804,0.631442938446336,0.34994081107418,0.0545723339816678
